City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
135,Carnot,CF,2022-05-30 19:33:34,4.9409,15.8665,72.37,79,100,1.66
136,Fortuna,US,2022-05-30 19:33:34,40.5982,-124.1573,61.86,67,0,17.27
137,Griffith,US,2022-05-30 19:33:34,41.5284,-87.4237,89.53,44,0,11.5
138,Namibe,AO,2022-05-30 19:32:28,-15.1961,12.1522,67.93,74,0,7.18
139,Kavaratti,IN,2022-05-30 19:34:35,10.5669,72.642,82.87,72,100,10.94
140,Puerto Maldonado,PE,2022-05-30 19:34:35,-12.6,-69.1833,91.8,52,40,3.44
141,Lusambo,CD,2022-05-30 19:34:35,-4.9667,23.45,73.71,71,27,2.3
142,Orodara,BF,2022-05-30 19:34:35,10.9492,-4.9342,74.32,75,89,7.85
143,Tiksi,RU,2022-05-30 19:34:36,71.6872,128.8694,28.27,93,100,12.46
144,Saint-Francois,FR,2022-05-30 19:34:36,46.4154,3.9054,63.84,39,0,5.75
145,Linhares,BR,2022-05-30 19:34:36,-19.3911,-40.0722,77.61,69,4,3.2
146,Touros,BR,2022-05-30 19:34:37,-5.1989,-35.4608,80.53,78,19,9.37
147,Zhuanghe,CN,2022-05-30 19:34:37,39.7008,122.9911,59.18,69,82,3.78
148,Toribio,CO,2022-05-30 19:34:37,2.9548,-76.2684,63.3,93,100,1.5
149,Ahuimanu,US,2022-05-30 19:34:38,21.4447,-157.8378,80.85,67,0,11.5
150,Along,IN,2022-05-30 19:34:38,28.1667,94.7667,71.44,97,22,1.43
151,Yellowknife,CA,2022-05-30 19:31:40,62.456,-114.3525,55.92,30,20,4.61
152,Faya,SA,2022-05-30 19:34:38,18.3851,42.4509,73.51,34,44,3.87
153,Kodinar,IN,2022-05-30 19:34:39,20.7903,70.7031,80.82,82,7,14.36
154,Conde,BR,2022-05-30 19:34:39,-7.2597,-34.9075,80.06,89,75,8.05
155,Mount Gambier,AU,2022-05-30 19:31:38,-37.8333,140.7667,44.51,93,100,17.27
156,Bereda,ES,2022-05-30 19:34:39,43.2686,-7.5406,55.62,98,100,1.57
157,Cidreira,BR,2022-05-30 19:34:39,-30.1811,-50.2056,54.91,61,26,13.22
158,Xining,CN,2022-05-30 19:34:40,36.6167,101.7667,53.2,53,100,3.13
159,Vila Velha,BR,2022-05-30 19:34:40,-20.3297,-40.2925,82.35,78,20,10.36
160,Kruisfontein,ZA,2022-05-30 19:34:40,-34.0033,24.7314,49.89,58,100,10.09
161,Klyuchi,RU,2022-05-30 19:34:41,52.2667,79.1667,65.05,45,100,4.03
162,Oktyabrskiy,RU,2022-05-30 19:34:41,54.4815,53.471,49.73,85,0,5.44
163,Axim,GH,2022-05-30 19:34:41,4.8699,-2.2405,78.1,85,42,7.2
164,Whitianga,NZ,2022-05-30 19:34:42,-36.8333,175.7,59.14,91,44,5.93
165,Richards Bay,ZA,2022-05-30 19:34:42,-28.783,32.0377,58.87,69,24,5.86
166,Lixourion,GR,2022-05-30 19:34:42,38.2019,20.4314,68.0,100,0,0.0
167,Viedma,AR,2022-05-30 19:34:42,-40.8135,-62.9967,47.19,56,55,12.91
168,Nuuk,GL,2022-05-30 19:34:40,64.1835,-51.7216,50.61,57,75,5.75
169,Saint-Pierre,RE,2022-05-30 19:34:43,-21.3393,55.4781,71.28,73,75,12.66
